torneo,id_partido,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,anfitrion_local,estadio,ciudad,fuente
2026,M-2026-025,Fase de grupos,E,1,2026-06-14,Germany,Curacao,7.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,M-2026-026,Fase de grupos,G,1,2026-06-14,Ivory Coast,Ecuador,1.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,M-2026-031,Fase de grupos,G,1,2026-06-14,Netherlands,Japan,,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,M-2026-032,Fase de grupos,F,1,2026-06-15,Sweden,Tunisia,5.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,M-2026-037,Fase de grupos,,1,2026-06-15,Belgium,Egypt,1.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,M-2026-038,Fase de grupos,G,1,2026-06-15,Iran,New Zealand,2.0,2.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,M-2026-043,Fase de grupos,G,1,2026-06-15,Spain,Cape Verde,0.0,,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,M-2026-044,Fase de grupos,H,1,2026-06-15,Saudi Arabia,Uruguay,1.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,M-2026-049,Fase de grupos,,1,2026-06-16,France,Senegal,3.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,M-2026-050,Fase de grupos,G,1,2026-06-16,Iraq,Norway,1.0,4.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,M-2026-055,Fase de grupos,G,1,2026-06-16,Argentina,Algeria,3.0,0.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,M-2026-056,Fase de grupos,,1,2026-06-17,Austria,Jordan,3.0,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,M-2026-061,Fase de grupos,,1,2026-06-17,Portugal,DR Congo,,1.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,M-2026-062,Fase de grupos,G,1,2026-06-17,Uzbekistan,Colombia,1.0,3.0,False,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
